HostID,ID,Neighbourhood,Latitude,Longitude,PropertyType,RoomType,Accommodates,BedType,Price,GuestsIncluded,ExtraPeople,MinimumNights,ResponseTime,ResponseRate,NumberofReviews,ReviewRating,ReviewAccuracy,ReviewCleanliness,ReviewCheckin,ReviewCommunication,ReviewLocation,ReviewValue,Bathrooms,Bedrooms,Beds,HostSince,PropertyAge,PriceperPerson,BedsperPerson,BedroomsperPerson,BathroomsperPerson,NumberofRooms,RoomsperPerson,PolyMinPrice,PolyMaxPrice,PolyMeanPrice,DistancetoDam(km)
133785,1819449,1,52.36998657,4.879435888,0,0,2,0,100,0,0,3,2,1.0,1,97.0,10.0,10.0,10.0,10.0,10.0,8.0,1.0,1.0,1.0,2010-05-28,4745,50.0,0.5,0.5,0.5,2.0,1.0,10270.0,10270.0,10270.0,0.9358272885585233
140224,1362929,1,52.3804423,4.896870326,0,0,4,0,200,4,35,2,1,0.61,9,88.0,9.0,8.0,9.0,9.0,8.0,8.0,1.5,2.0,2.0,2010-06-07,4735,50.0,0.5,0.5,0.375,3.5,0.875,10270.0,10270.0,10270.0,0.8767335540933547
148238,34357,5,52.39309367,4.872934521,0,0,4,0,129,2,10,4,1,0.9,7,100.0,10.0,10.0,10.0,10.0,9.0,10.0,1.5,3.0,2.0,2010-06-20,4722,32.25,0.5,0.75,0.375,4.5,1.125,6847.0,8216.0,7531.5,2.582726532077642
160130,1039519,1,52.37983516,4.892287983,0,0,4,0,150,2,40,2,2,1.0,9,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,3.0,2010-07-07,4705,37.5,0.75,0.25,0.25,2.0,0.5,8216.0,10270.0,9243.0,0.7494754765981836
170371,1055452,2,52.36924782,4.871122633,0,0,2,0,125,1,0,2,0,0.97,30,93.0,9.0,9.0,9.0,10.0,9.0,9.0,1.0,1.0,1.0,2010-07-18,4694,62.5,0.5,0.5,0.5,2.0,1.0,8216.0,10270.0,9243.0,1.4981792206172058
170462,39688,7,52.38018953,4.854581502,0,0,4,0,130,2,20,2,1,0.9,10,100.0,10.0,10.0,10.0,10.0,9.0,9.0,1.5,2.0,2.0,2010-07-18,4694,32.5,0.5,0.5,0.375,3.5,0.875,6847.0,8216.0,7531.5,2.6805382006848015
178227,41075,7,52.38353198,4.855511391,0,0,4,0,67,2,15,2,1,1.0,31,93.0,10.0,8.0,9.0,9.0,8.0,9.0,1.0,2.0,2.0,2010-07-23,4689,16.75,0.5,0.5,0.25,3.0,0.75,6847.0,8216.0,7531.5,2.7549076837710973
178294,3749010,9,52.36125772,4.978977679,2,0,4,0,275,4,45,3,0,1.0,3,90.0,10.0,10.0,10.0,9.0,9.0,8.0,1.5,2.0,4.0,2010-07-23,4689,68.75,1.0,0.5,0.375,3.5,0.875,4793.0,5477.0,5135.0,6.055940569169221
178515,61777,1,52.38105624,4.885679794,0,0,2,0,76,1,0,4,2,1.0,58,92.0,9.0,9.0,9.0,10.0,10.0,9.0,1.0,1.0,1.0,2010-07-23,4689,38.0,0.5,0.5,0.5,2.0,1.0,8216.0,10270.0,9243.0,0.9904339433940449
184354,42161,10,52.35687489,4.946206583,0,0,2,0,129,1,0,2,1,0.94,3,93.0,10.0,8.0,10.0,10.0,8.0,9.0,1.0,1.0,2.0,2010-07-29,4683,64.5,1.0,0.5,0.5,2.0,1.0,6162.0,6847.0,6504.5,4.0979691335088475
187417,42908,3,52.34733353,4.88943128,0,0,2,0,125,2,0,2,2,0.94,8,100.0,10.0,9.0,10.0,10.0,8.0,10.0,1.0,1.0,2.0,2010-08-01,4680,62.5,1.0,0.5,0.5,2.0,1.0,6847.0,8216.0,7531.5,2.873340660278162
187580,568110,1,52.36786098,4.887054786,0,0,2,0,195,1,0,4,0,1.0,13,94.0,9.0,10.0,9.0,10.0,10.0,9.0,1.0,1.0,1.0,2010-08-01,4680,97.5,0.5,0.5,0.5,2.0,1.0,8216.0,10270.0,9243.0,0.6801909417287094
187728,634772,1,52.38122515,4.883545849,2,0,4,0,170,2,25,2,1,0.95,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.5,1.0,1.0,2010-08-01,4680,42.5,0.25,0.25,0.375,2.5,0.625,8216.0,10270.0,9243.0,1.079240805379484
