HostID,HostName,ID,Neighbourhood,Latitude,Longitude,PropertyType,RoomType,Accommodates,BedType,Price,GuestsIncluded,ExtraPeople,MinimumNights,ResponseTime,ResponseRate,NumberofReviews,ReviewRating,ReviewAccuracy,ReviewCleanliness,ReviewCheckin,ReviewCommunication,ReviewLocation,ReviewValue,Bathrooms,Bedrooms,Beds,HostSince,PropertyAge,PriceperPerson,BedsperPerson,BedroomsperPerson,BathroomsperPerson,NumberofRooms,RoomsperPerson,PolyMinPrice,PolyMaxPrice,PolyMeanPrice,DistancetoDam(km)
98829,Jelmer & Sarah,3985308,De Baarsjes - Oud-West,52.36695076,4.867029312,Apartment,Entire home/apt,2,Real Bed,90,1,0,4,within an hour,1.0,9,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,2010-03-25,4809,45.0,0.5,0.5,0.5,2.0,1.0,8216.0,10270.0,9243.0,1.8458909225930897
98844,Manolis,178841,Westerpark,52.38262451,4.878955874,Apartment,Entire home/apt,4,Real Bed,95,2,30,3,within a few hours,0.8,29,85.0,9.0,8.0,9.0,9.0,9.0,9.0,1.5,1.0,1.0,2010-03-25,4809,23.75,0.25,0.25,0.375,2.5,0.625,8216.0,10270.0,9243.0,1.3916458343274103
106225,Jeff,25488,Oostelijk Havengebied - Indische Buurt,52.36500978,4.943572387,Apartment,Entire home/apt,6,Real Bed,120,4,25,4,within a few hours,1.0,69,91.0,9.0,9.0,9.0,9.0,8.0,9.0,1.0,3.0,3.0,2010-04-10,4793,20.0,0.5,0.5,0.16666666666666666,4.0,0.6666666666666666,6162.0,6847.0,6504.5,3.613016372907935
106241,Tanja,25489,Centrum-Oost,52.37531439,4.903689027,Apartment,Entire home/apt,4,Real Bed,195,2,35,2,within an hour,1.0,25,94.0,9.0,10.0,10.0,10.0,10.0,9.0,1.0,2.0,2.0,2010-04-10,4793,48.75,0.5,0.5,0.25,3.0,0.75,6847.0,8216.0,7531.5,0.8203288560349058
119217,Allan,343195,Centrum-Oost,52.36436233,4.897554031,House,Private room,2,Real Bed,100,2,0,2,within a few hours,1.0,38,88.0,9.0,7.0,9.0,10.0,10.0,9.0,1.0,1.0,1.0,2010-05-06,4767,50.0,0.5,0.5,0.5,2.0,1.0,8216.0,10270.0,9243.0,1.03841885628127
123414,Michele,2405985,Bos en Lommer,52.37529835,4.857196176,Apartment,Private room,2,Real Bed,60,1,0,2,within an hour,1.0,39,89.0,10.0,9.0,10.0,10.0,9.0,9.0,1.0,1.0,1.0,2010-05-12,4761,30.0,0.5,0.5,0.5,2.0,1.0,6847.0,8216.0,7531.5,2.396414818732895
124245,Edwin,28871,Centrum-Oost,52.36610077,4.889528484,House,Private room,2,Real Bed,75,1,15,2,within a few hours,1.0,3,100.0,10.0,10.0,10.0,10.0,10.0,9.0,1.0,1.0,1.0,2010-05-13,4760,37.5,0.5,0.5,0.5,2.0,1.0,8216.0,10270.0,9243.0,0.7998081267078534
124912,Samy,270777,Centrum-West,52.3678093,4.877908369,Apartment,Entire home/apt,2,Real Bed,120,1,0,3,within an hour,1.0,74,93.0,9.0,9.0,9.0,9.0,10.0,9.0,1.5,1.0,1.0,2010-05-14,4759,60.0,0.5,0.5,0.75,2.5,1.25,8216.0,10270.0,9243.0,1.137582732088138
125667,Michèle,4052965,De Pijp - Rivierenbuurt,52.34982879,4.887147116,Boat,Entire home/apt,2,Real Bed,100,1,0,3,within an hour,1.0,31,90.0,9.0,9.0,9.0,9.0,9.0,8.0,1.0,0.0,1.0,2010-05-16,4757,50.0,0.5,0.0,0.5,1.0,0.5,8216.0,10270.0,9243.0,2.612263908849369
125667,Michèle,1018703,Zuid,52.3504502,4.8861133,Boat,Entire home/apt,2,Real Bed,100,2,45,3,within an hour,1.0,46,92.0,9.0,9.0,9.0,9.0,9.0,9.0,1.0,0.0,1.0,2010-05-16,4757,50.0,0.5,0.0,0.5,1.0,0.5,8216.0,10270.0,9243.0,2.554219512214539
