name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
washington DC,2013-02-10,7,-3.2,2.2,4.3,-5.2,-0.2,-8.5,46.9,0,0,0,,0,0,,18.3,189.7,1029.7,59.2,16,132.8,11.5,6,,2013-02-10T07:04:58,2013-02-10T17:40:16,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-02-11,12.1,3.1,7.3,12.1,-0.3,5.4,5.2,87.1,7.105,100,25,rain,0,0,37.1,25.5,195.6,1014.2,91.4,11.1,44.6,3.8,2,,2013-02-11T07:03:50,2013-02-11T17:41:24,0.05,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"KDCA,72405013743,72403793728,KADW,KDAA"
washington DC,2013-02-12,14.1,5.8,10,14.1,3.4,8.8,-2.7,42.6,0,0,0,,0,0,43.5,25.6,309.4,1013.5,44.4,16,179.6,15.5,7,,2013-02-12T07:02:40,2013-02-12T17:42:33,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-02-13,8.8,1.7,4.2,7.7,-2.4,1.7,-1.1,69.3,4.003,100,25,"rain,snow",0,0,,19.9,37.1,1009.7,84.6,13.6,118,10.2,5,,2013-02-13T07:01:29,2013-02-13T17:43:41,0.11,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington DC,2013-02-14,9.1,1.7,5.2,8.7,-1.2,3.1,-1.7,63.5,0,0,0,,0,0,29.5,22.1,315,1014.6,26.3,14.6,181,15.6,7,,2013-02-14T07:00:17,2013-02-14T17:44:49,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA"
washington DC,2013-02-15,15,1.9,7.1,15,-1,5.1,0.2,65.2,1.203,100,8.33,rain,0,0,56,29.3,239.5,1015.8,51.9,15.5,179.5,15.5,7,,2013-02-15T06:59:04,2013-02-15T17:45:56,0.17,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington DC,2013-02-16,4.1,1,3.1,3.8,-4.4,-0.2,-2,70.4,1.49,100,16.67,rain,0,0,45.8,36,356.7,1013.7,96.5,15.8,47.6,4,2,,2013-02-16T06:57:49,2013-02-16T17:47:04,0.21,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
washington DC,2013-02-17,0.9,-3.2,-1.3,-5,-10.5,-7.6,-12.9,41.5,0,0,0,,0,0,59.7,38.8,304.5,1015.4,51.4,16,118.4,10.1,4,,2013-02-17T06:56:33,2013-02-17T17:48:11,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-02-18,5.7,-5.1,0.1,2.4,-10.1,-3.9,-13.1,37.3,0,0,0,,0,0,44.3,23.2,255.6,1025.9,36.1,16,196.2,17,7,,2013-02-18T06:55:16,2013-02-18T17:49:18,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72405013743,KDCA,KADW,KDAA"
washington DC,2013-02-19,8.1,2.8,5.2,5.5,-1.4,1.4,-1.1,65,1.832,100,20.83,rain,0,0,45.8,34.7,208.4,1013.9,82,15.7,65.9,5.8,3,,2013-02-19T06:53:59,2013-02-19T17:50:24,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-02-20,4.2,-3,1.8,0.7,-9.3,-3.7,-10.8,39.2,0.012,100,4.17,"rain,snow",0,0,55.4,39.9,319.3,1016.5,47.1,16,173.8,15.1,7,,2013-02-20T06:52:40,2013-02-20T17:51:30,0.33,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"KDCA,72405013743,KADW,KDAA"
washington DC,2013-02-21,4.1,-3.4,0,-0.1,-10.1,-5.2,-11.7,41.6,0,0,0,,0,0,47.5,29.5,317.4,1023.3,39.1,16,199.1,17.4,7,,2013-02-21T06:51:20,2013-02-21T17:52:36,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,KADW,KDAA"
